SEI10,ID,AGE,INCOME16,EDUC,RACE,Black,White,Other,Male,Female,Urban,Fulltime,Parttime,NotWorking,Unemployed,KeepingHouse,Retired,AtSchool
75.5,525,85,24,18,1,0,1,0,1,0,1,0,0,0,0,0,1,0
92.8,526,45,26,17,1,0,1,0,0,1,1,0,1,0,0,0,0,0
21.8,527,23,16,15,1,0,1,0,0,1,1,0,1,0,0,0,0,0
70.5,528,33,26,19,1,0,1,0,1,0,1,1,0,0,0,0,0,0
20.7,529,51,23,17,3,0,0,1,0,1,1,0,1,0,0,0,0,0
67.7,530,52,24,17,1,0,1,0,0,1,1,1,0,0,0,0,0,0
38.8,531,78,15,15,1,0,1,0,0,1,1,0,0,0,0,0,1,0
63.7,532,69,26,21,1,0,1,0,1,0,1,1,0,0,0,0,0,0
39.7,533,62,21,17,1,0,1,0,0,1,1,0,0,0,0,1,0,0
88.6,534,74,23,18,1,0,1,0,0,1,1,0,0,0,0,0,1,0
77.2,536,76,22,18,1,0,1,0,0,1,1,0,0,0,0,0,1,0
27.4,537,47,20,7,2,1,0,0,1,0,1,1,0,0,0,0,0,0
35.8,538,31,16,13,1,0,1,0,0,1,1,0,0,0,0,1,0,0
28.7,540,28,15,12,3,0,0,1,1,0,1,1,0,0,0,0,0,0
82.5,541,47,13,15,2,1,0,0,1,0,1,0,1,0,0,0,0,0
69.3,543,32,25,14,2,1,0,0,1,0,1,1,0,0,0,0,0,0
71.4,544,47,18,21,1,0,1,0,0,1,1,0,1,0,0,0,0,0
91.1,545,27,13,21,2,1,0,0,0,1,1,1,0,0,0,0,0,0
63.7,546,57,10,17,1,0,1,0,0,1,1,0,0,0,0,1,0,0
64.2,547,32,20,14,2,1,0,0,0,1,1,1,0,0,0,0,0,0
32,548,24,24,13,1,0,1,0,1,0,1,1,0,0,0,0,0,0
21.8,549,81,1,7,1,0,1,0,0,1,1,0,0,0,0,0,1,0
26.1,550,19,15,13,3,0,0,1,0,1,1,1,0,0,0,0,0,0
25.7,551,44,15,13,3,0,0,1,0,1,1,1,0,0,0,0,0,0
31.2,552,41,2,8,1,0,1,0,1,0,1,0,0,0,1,0,0,0
34.7,553,67,18,13,2,1,0,0,1,0,1,0,0,1,0,0,0,0
85.2,554,36,20,15,2,1,0,0,1,0,1,1,0,0,0,0,0,0
87.9,555,33,24,17,3,0,0,1,1,0,1,1,0,0,0,0,0,0
61.2,556,48,20,11,3,0,0,1,1,0,1,1,0,0,0,0,0,0
38.3,557,47,23,13,3,0,0,1,0,1,1,1,0,0,0,0,0,0
45.3,558,72,22,16,1,0,1,0,0,1,0,0,0,0,0,0,1,0
76.7,559,60,24,20,1,0,1,0,0,1,1,0,1,0,0,0,0,0
43,564,37,17,15,1,0,1,0,0,1,1,1,0,0,0,0,0,0
80.9,565,39,20,18,1,0,1,0,0,1,1,0,0,0,0,1,0,0
